period,state,handgun,long_gun,multiple,year,month
2017-01,Iowa,198,2216,8,2017,1
2017-01,Kansas,6378,5466,524,2017,1
2017-01,Kentucky,10717,7370,794,2017,1
2017-01,Louisiana,11780,9571,944,2017,1
2017-01,Maine,3403,2692,284,2017,1
2017-01,Maryland,4902,5779,48,2017,1
2017-01,Massachusetts,6676,3158,308,2017,1
2017-01,Michigan,11199,8239,308,2017,1
2017-01,Minnesota,10328,7993,638,2017,1
2017-01,Mississippi,7486,6151,496,2017,1
2017-01,Missouri,22135,14863,1714,2017,1
2017-01,Montana,2216,3023,278,2017,1
2017-01,Nebraska,155,1840,6,2017,1
2017-01,Nevada,4658,2597,452,2017,1
2017-01,New Hampshire,5865,3120,12,2017,1
2017-01,New Jersey,6291,3691,0,2017,1
2017-01,New Mexico,5259,4005,466,2017,1
2017-01,New York,12165,14753,342,2017,1
2017-01,North Carolina,1180,12340,376,2017,1
2017-01,North Dakota,1507,2081,136,2017,1
2017-01,Ohio,29836,16577,1990,2017,1
2017-01,Oklahoma,11892,9771,1410,2017,1
2017-01,Oregon,13278,9884,0,2017,1
2017-01,Pennsylvania,48619,11758,0,2017,1
2017-01,Rhode Island,1316,756,320,2017,1
2017-01,South Carolina,10311,6246,1050,2017,1
2017-01,South Dakota,2608,3083,266,2017,1
2017-01,Tennessee,25310,14941,0,2017,1
2017-01,Texas,46967,34445,4352,2017,1
2017-01,Utah,3334,3257,0,2017,1
2017-01,Vermont,1472,1335,120,2017,1
2017-01,Virginia,23513,15751,0,2017,1
2017-01,Washington,17154,10904,1050,2017,1
2017-01,West Virginia,6421,5494,688,2017,1
2017-01,Wisconsin,13581,9777,58,2017,1
2017-01,Wyoming,1462,1576,146,2017,1
2016-12,Alabama,15106,19271,1066,2016,12
2016-12,Alaska,4496,4068,382,2016,12
2016-12,Arizona,19826,15164,1406,2016,12
2016-12,Arkansas,10111,14776,770,2016,12
2016-12,California,70014,102546,0,2016,12
2016-12,Colorado,28496,23247,2852,2016,12
2016-12,Connecticut,8803,3468,0,2016,12
2016-12,Delaware,2958,3279,234,2016,12
2016-12,Florida,76826,43868,5190,2016,12
2016-12,Georgia,26263,24874,1688,2016,12
2016-12,Hawaii,0,0,0,2016,12
2016-12,Idaho,6018,7781,420,2016,12
2016-12,Illinois,32624,18880,2062,2016,12
2016-12,Indiana,33273,23857,1822,2016,12
2016-12,Iowa,430,5304,6,2016,12
2016-12,Kansas,9343,11520,830,2016,12
2016-12,Kentucky,19042,18443,1346,2016,12
2016-12,Louisiana,20253,25133,1802,2016,12
2016-12,Maine,5105,5184,374,2016,12
2016-12,Maryland,5418,9757,66,2016,12
2016-12,Massachusetts,7755,4272,394,2016,12
